Kankersoort;Periode;Geslacht;Leeftijdsgroep;Aantal
Kanker van de urinewegen;1997;Man en vrouw;60-74;1798
Kanker van de urinewegen;1997;Man en vrouw;0-14;30
Kanker van de urinewegen;1997;Man en vrouw;Totaal;3974
Kanker van de urinewegen;1997;Man en vrouw;45-59;658
Kanker van de urinewegen;1998;Man en vrouw;30-44;115
Kanker van de urinewegen;1998;Man en vrouw;15-29;12
Kanker van de urinewegen;1998;Man en vrouw;75+;1380
Kanker van de urinewegen;1998;Man en vrouw;60-74;1719
Kanker van de urinewegen;1998;Man en vrouw;0-14;27
Kanker van de urinewegen;1998;Man en vrouw;Totaal;3897
Kanker van de urinewegen;1998;Man en vrouw;45-59;644
Kanker van de urinewegen;1999;Man en vrouw;30-44;114
Kanker van de urinewegen;1999;Man en vrouw;75+;1475
Kanker van de urinewegen;1999;Man en vrouw;60-74;1795
Kanker van de urinewegen;1999;Man en vrouw;0-14;24
Kanker van de urinewegen;1999;Man en vrouw;Totaal;4156
Kanker van de urinewegen;1999;Man en vrouw;15-29;6
Kanker van de urinewegen;1999;Man en vrouw;45-59;742
Kanker van de urinewegen;2000;Man en vrouw;30-44;113
Kanker van de urinewegen;2000;Man en vrouw;75+;1418
Kanker van de urinewegen;2000;Man en vrouw;60-74;1849
Kanker van de urinewegen;2000;Man en vrouw;0-14;29
Kanker van de urinewegen;2000;Man en vrouw;Totaal;4151
Kanker van de urinewegen;2000;Man en vrouw;15-29;6
Kanker van de urinewegen;2000;Man en vrouw;45-59;736
Kanker van de urinewegen;2001;Man en vrouw;15-29;10
Kanker van de urinewegen;2001;Man en vrouw;30-44;112
Kanker van de urinewegen;2001;Man en vrouw;75+;1447
Kanker van de urinewegen;2001;Man en vrouw;60-74;1815
Kanker van de urinewegen;2001;Man en vrouw;0-14;30
Kanker van de urinewegen;2001;Man en vrouw;Totaal;4164
Kanker van de urinewegen;2001;Man en vrouw;45-59;750
Kanker van de urinewegen;2002;Man en vrouw;30-44;117
Kanker van de urinewegen;2002;Man en vrouw;15-29;12
Kanker van de urinewegen;2002;Man en vrouw;75+;1518
Kanker van de urinewegen;2002;Man en vrouw;60-74;1898
Kanker van de urinewegen;2002;Man en vrouw;0-14;32
Kanker van de urinewegen;2002;Man en vrouw;Totaal;4300
Kanker van de urinewegen;2002;Man en vrouw;45-59;723
Kanker van de urinewegen;2003;Man en vrouw;30-44;117
Kanker van de urinewegen;2003;Man en vrouw;75+;1554
Kanker van de urinewegen;2003;Man en vrouw;60-74;1838
Kanker van de urinewegen;2003;Man en vrouw;0-14;35
Kanker van de urinewegen;2003;Man en vrouw;Totaal;4390
Kanker van de urinewegen;2003;Man en vrouw;15-29;8
Kanker van de urinewegen;2003;Man en vrouw;45-59;838
Kanker van de urinewegen;2004;Man en vrouw;30-44;121
Kanker van de urinewegen;2004;Man en vrouw;15-29;14
Kanker van de urinewegen;2004;Man en vrouw;75+;1587
Kanker van de urinewegen;2004;Man en vrouw;60-74;1958
Kanker van de urinewegen;2004;Man en vrouw;0-14;29
Kanker van de urinewegen;2004;Man en vrouw;Totaal;4514
Kanker van de urinewegen;2004;Man en vrouw;45-59;805
Kanker van de urinewegen;2005;Man en vrouw;30-44;137
Kanker van de urinewegen;2005;Man en vrouw;75+;1694
Kanker van de urinewegen;2005;Man en vrouw;60-74;2037
Kanker van de urinewegen;2005;Man en vrouw;0-14;26
Kanker van de urinewegen;2005;Man en vrouw;Totaal;4754
Kanker van de urinewegen;2005;Man en vrouw;15-29;5
Kanker van de urinewegen;2005;Man en vrouw;45-59;855
Kanker van de urinewegen;2006;Man en vrouw;15-29;10
Kanker van de urinewegen;2006;Man en vrouw;30-44;125
Kanker van de urinewegen;2006;Man en vrouw;75+;1797
Kanker van de urinewegen;2006;Man en vrouw;60-74;2078
Kanker van de urinewegen;2006;Man en vrouw;0-14;33
Kanker van de urinewegen;2006;Man en vrouw;Totaal;4950
Kanker van de urinewegen;2006;Man en vrouw;45-59;907
Kanker van de urinewegen;2007;Man en vrouw;30-44;157
Kanker van de luchtwegen;2004;Man en vrouw;15-29;7
Kanker van de luchtwegen;2005;Man en vrouw;0-14;1
Kanker van de luchtwegen;2005;Man en vrouw;Totaal;10572
Kanker van de luchtwegen;2005;Man en vrouw;15-29;11
Kanker van de luchtwegen;2005;Man en vrouw;45-59;2307
Kanker van de luchtwegen;2005;Man en vrouw;30-44;236
Kanker van de luchtwegen;2005;Man en vrouw;75+;2892
Kanker van de luchtwegen;2005;Man en vrouw;60-74;5125
Kanker van de luchtwegen;2006;Man en vrouw;0-14;1
Kanker van de luchtwegen;2006;Man en vrouw;15-29;10
Kanker van de luchtwegen;2006;Man en vrouw;Totaal;11188
Kanker van de luchtwegen;2006;Man en vrouw;45-59;2435
Kanker van de luchtwegen;2006;Man en vrouw;30-44;251
Kanker van de luchtwegen;2006;Man en vrouw;75+;3216
Kanker van de luchtwegen;2006;Man en vrouw;60-74;5275
Kanker van de luchtwegen;2007;Man en vrouw;0-14;0
Kanker van de luchtwegen;2007;Man en vrouw;15-29;11
Kanker van de luchtwegen;2007;Man en vrouw;Totaal;11406
Kanker van de luchtwegen;2007;Man en vrouw;30-44;233
Kanker van de luchtwegen;2007;Man en vrouw;45-59;2407
Kanker van de luchtwegen;2007;Man en vrouw;75+;3307
Kanker van de luchtwegen;2007;Man en vrouw;60-74;5448
Kanker van de luchtwegen;2008;Man en vrouw;0-14;0
Kanker van de luchtwegen;2008;Man en vrouw;Totaal;11804
Kanker van de luchtwegen;2008;Man en vrouw;15-29;14
Kanker van de luchtwegen;2008;Man en vrouw;30-44;216
Kanker van de luchtwegen;2008;Man en vrouw;45-59;2427
Kanker van de luchtwegen;2008;Man en vrouw;75+;3452
Kanker van de luchtwegen;2008;Man en vrouw;60-74;5695
Kanker van de luchtwegen;2009;Man en vrouw;Totaal;12064
Kanker van de luchtwegen;2009;Man en vrouw;15-29;15
Kanker van de luchtwegen;2009;Man en vrouw;30-44;235
Kanker van de luchtwegen;2009;Man en vrouw;45-59;2371
Kanker van de luchtwegen;2009;Man en vrouw;0-14;3
Hematologische maligniteiten;1998;Man;15-29;146
Hematologische maligniteiten;1998;Man;30-44;250
Hematologische maligniteiten;1998;Man;Totaal;2774
Hematologische maligniteiten;1998;Man;45-59;609
Hematologische maligniteiten;1998;Man;75+;626
Hematologische maligniteiten;1999;Man;60-74;1012
Hematologische maligniteiten;1999;Man;0-14;135
Hematologische maligniteiten;1999;Man;15-29;135
Hematologische maligniteiten;1999;Man;30-44;273
Hematologische maligniteiten;1999;Man;Totaal;2806
Hematologische maligniteiten;1999;Man;45-59;617
Hematologische maligniteiten;1999;Man;75+;634
Hematologische maligniteiten;2000;Man;60-74;1026
Hematologische maligniteiten;2000;Man;0-14;123
Hematologische maligniteiten;2000;Man;15-29;140
Hematologische maligniteiten;2000;Man;Totaal;2925
Hematologische maligniteiten;2000;Man;30-44;297
Hematologische maligniteiten;2000;Man;45-59;618
Hematologische maligniteiten;2000;Man;75+;721
Hematologische maligniteiten;2001;Man;0-14;123
Hematologische maligniteiten;2001;Man;60-74;1292
Hematologische maligniteiten;2001;Man;15-29;151
Hematologische maligniteiten;2001;Man;30-44;287
Hematologische maligniteiten;2001;Man;Totaal;3475
Hematologische maligniteiten;2001;Man;45-59;724
Hematologische maligniteiten;2001;Man;75+;898
Hematologische maligniteiten;2002;Man;60-74;1317
Hematologische maligniteiten;2002;Man;0-14;136
Hematologische maligniteiten;2002;Man;15-29;144
Hematologische maligniteiten;2002;Man;30-44;344
Hematologische maligniteiten;2002;Man;Totaal;3662
Hematologische maligniteiten;2002;Man;45-59;804
Hematologische maligniteiten;2002;Man;75+;917
Hematologische maligniteiten;2003;Man;0-14;127
Hematologische maligniteiten;2003;Man;60-74;1394
Hematologische maligniteiten;2003;Man;15-29;180
Hematologische maligniteiten;2003;Man;30-44;340
Hematologische maligniteiten;2003;Man;Totaal;3887
Hematologische maligniteiten;2003;Man;45-59;889
Hematologische maligniteiten;2003;Man;75+;957
Hematologische maligniteiten;2004;Man;75+;1062
Hematologische maligniteiten;2004;Man;0-14;115
Hematologische maligniteiten;2004;Man;15-29;138
Hematologische maligniteiten;2004;Man;60-74;1496
Hematologische maligniteiten;2004;Man;30-44;362
Hematologische maligniteiten;2004;Man;Totaal;4048
Hematologische maligniteiten;2004;Man;45-59;875
Hematologische maligniteiten;2005;Man;75+;1126
Hematologische maligniteiten;2005;Man;0-14;127
Hematologische maligniteiten;2005;Man;15-29;142
Hematologische maligniteiten;2005;Man;60-74;1541
Hematologische maligniteiten;2005;Man;30-44;293
Hematologische maligniteiten;2005;Man;Totaal;4095
Hematologische maligniteiten;2005;Man;45-59;866
Hematologische maligniteiten;2006;Man;75+;1116
Hematologische maligniteiten;2006;Man;0-14;113
Hematologische maligniteiten;2006;Man;15-29;141
Hematologische maligniteiten;2006;Man;60-74;1480
Hematologische maligniteiten;2006;Man;30-44;284
Hematologische maligniteiten;2006;Man;Totaal;4009
Hematologische maligniteiten;2006;Man;45-59;875
Hematologische maligniteiten;2007;Man;0-14;102
Hematologische maligniteiten;2007;Man;75+;1221
Hematologische maligniteiten;2007;Man;15-29;154
Hematologische maligniteiten;2007;Man;60-74;1726
Hematologische maligniteiten;2007;Man;30-44;304
Hematologische maligniteiten;2007;Man;Totaal;4421
Hematologische maligniteiten;2007;Man;45-59;914
Hematologische maligniteiten;2008;Man;0-14;125
Kanker van de mannelijke geslachtsorganen;1998;Man en vrouw;45-59;684
Kanker van de mannelijke geslachtsorganen;1998;Man en vrouw;Totaal;7402
Kanker van de mannelijke geslachtsorganen;1998;Man en vrouw;0-14;8
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;15-29;191
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;75+;2443
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;30-44;255
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;60-74;3832
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;0-14;7
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;45-59;704
Kanker van de mannelijke geslachtsorganen;1999;Man en vrouw;Totaal;7432
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;15-29;187
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;75+;2513
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;30-44;252
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;60-74;3939
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;0-14;6
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;Totaal;7670
Kanker van de mannelijke geslachtsorganen;2000;Man en vrouw;45-59;773
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;0-14;2
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;15-29;208
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;75+;2587
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;30-44;309
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;60-74;3930
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;Totaal;7830
Kanker van de mannelijke geslachtsorganen;2001;Man en vrouw;45-59;794
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;15-29;199
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;75+;2624
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;30-44;268
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;0-14;3
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;60-74;4156
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;Totaal;8175
Kanker van de mannelijke geslachtsorganen;2002;Man en vrouw;45-59;925
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;45-59;1041
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;15-29;183
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;75+;2739
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;0-14;3
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;30-44;302
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;60-74;4783
Kanker van de mannelijke geslachtsorganen;2003;Man en vrouw;Totaal;9051
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;Totaal;10303
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;45-59;1314
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;15-29;215
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;30-44;299
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;75+;2992
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;0-14;3
Kanker van de mannelijke geslachtsorganen;2004;Man en vrouw;60-74;5480
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;45-59;1302
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;15-29;227
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;75+;2730
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;30-44;298
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;0-14;3
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;60-74;5171
Kanker van de mannelijke geslachtsorganen;2005;Man en vrouw;Totaal;9731
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;Totaal;10582
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;45-59;1478
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;0-14;2
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;15-29;218
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;75+;2927
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;30-44;319
Kanker van de mannelijke geslachtsorganen;2006;Man en vrouw;60-74;5638
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;Totaal;10621
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;45-59;1355
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;15-29;220
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;75+;2853
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;30-44;317
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;0-14;4
Kanker van de mannelijke geslachtsorganen;2007;Man en vrouw;60-74;5872
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;Totaal;10789
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;45-59;1348
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;15-29;220
Borstkanker;1999;Man en vrouw;45-59;3814
Borstkanker;1999;Man en vrouw;15-29;68
Borstkanker;2000;Man en vrouw;0-14;0
Borstkanker;2000;Man en vrouw;Totaal;11304
Borstkanker;2000;Man en vrouw;30-44;1384
Borstkanker;2000;Man en vrouw;75+;2271
Borstkanker;2000;Man en vrouw;60-74;3492
Borstkanker;2000;Man en vrouw;45-59;4100
Borstkanker;2000;Man en vrouw;15-29;57
Borstkanker;2001;Man en vrouw;0-14;0
Borstkanker;2001;Man en vrouw;Totaal;11735
Borstkanker;2001;Man en vrouw;30-44;1613
Borstkanker;2001;Man en vrouw;75+;2325
Borstkanker;2001;Man en vrouw;60-74;3574
Borstkanker;2001;Man en vrouw;45-59;4160
Borstkanker;2001;Man en vrouw;15-29;63
Borstkanker;2002;Man en vrouw;0-14;0
Borstkanker;2002;Man en vrouw;Totaal;11668
Borstkanker;2002;Man en vrouw;30-44;1537
Borstkanker;2002;Man en vrouw;75+;2253
Borstkanker;2002;Man en vrouw;60-74;3532
Borstkanker;2002;Man en vrouw;45-59;4288
Borstkanker;2002;Man en vrouw;15-29;58
Borstkanker;2003;Man en vrouw;0-14;0
Borstkanker;2003;Man en vrouw;Totaal;11836
Borstkanker;2003;Man en vrouw;30-44;1559
Borstkanker;2003;Man en vrouw;75+;2219
Borstkanker;2003;Man en vrouw;60-74;3528
Borstkanker;2003;Man en vrouw;45-59;4481
Borstkanker;2003;Man en vrouw;15-29;49
Borstkanker;2004;Man en vrouw;0-14;0
Borstkanker;2004;Man en vrouw;Totaal;12150
Borstkanker;2004;Man en vrouw;30-44;1558
Borstkanker;2004;Man en vrouw;75+;2416
Kanker van de endocriene klieren;1997;Vrouw;30-44;74
Kanker van de endocriene klieren;1998;Vrouw;0-14;2
Kanker van de endocriene klieren;1998;Vrouw;Totaal;283
Kanker van de endocriene klieren;1998;Vrouw;15-29;35
Kanker van de endocriene klieren;1998;Vrouw;75+;47
Kanker van de endocriene klieren;1998;Vrouw;45-59;61
Kanker van de endocriene klieren;1998;Vrouw;60-74;66
Kanker van de endocriene klieren;1998;Vrouw;30-44;72
Kanker van de endocriene klieren;1999;Vrouw;15-29;27
Kanker van de endocriene klieren;1999;Vrouw;Totaal;279
Kanker van de endocriene klieren;1999;Vrouw;0-14;4
Kanker van de endocriene klieren;1999;Vrouw;75+;45
Kanker van de endocriene klieren;1999;Vrouw;60-74;55
Kanker van de endocriene klieren;1999;Vrouw;45-59;63
Kanker van de endocriene klieren;1999;Vrouw;30-44;85
Kanker van de endocriene klieren;2000;Vrouw;Totaal;278
Kanker van de endocriene klieren;2000;Vrouw;15-29;29
Kanker van de endocriene klieren;2000;Vrouw;0-14;3
Kanker van de endocriene klieren;2000;Vrouw;75+;35
Kanker van de endocriene klieren;2000;Vrouw;45-59;61
Kanker van de endocriene klieren;2000;Vrouw;60-74;63
Kanker van de endocriene klieren;2000;Vrouw;30-44;87
Kanker van de endocriene klieren;2001;Vrouw;0-14;1
Kanker van de endocriene klieren;2001;Vrouw;Totaal;258
Kanker van de endocriene klieren;2001;Vrouw;15-29;31
Kanker van de endocriene klieren;2001;Vrouw;60-74;37
Kanker van de endocriene klieren;2001;Vrouw;75+;45
Kanker van de endocriene klieren;2001;Vrouw;30-44;72
Kanker van de endocriene klieren;2001;Vrouw;45-59;72
Kanker van de endocriene klieren;2002;Vrouw;0-14;2
Kanker van de endocriene klieren;2002;Vrouw;Totaal;305
Kanker van de endocriene klieren;2002;Vrouw;15-29;40
Kanker van de endocriene klieren;2002;Vrouw;75+;44
Kanker van de endocriene klieren;2002;Vrouw;60-74;51
Kanker van de endocriene klieren;2002;Vrouw;45-59;69
Kanker van de endocriene klieren;2002;Vrouw;30-44;99
Kanker van de endocriene klieren;2003;Vrouw;Totaal;327
Kanker van de endocriene klieren;2003;Vrouw;0-14;4
Kanker van de endocriene klieren;2003;Vrouw;15-29;40
Kanker van de endocriene klieren;2003;Vrouw;75+;49
Kanker van de endocriene klieren;2003;Vrouw;60-74;58
Kanker van de endocriene klieren;2003;Vrouw;30-44;86
Kanker van de endocriene klieren;2003;Vrouw;45-59;90
Kanker van de endocriene klieren;2004;Vrouw;15-29;31
Kanker van de endocriene klieren;2004;Vrouw;Totaal;320
Kanker van de endocriene klieren;2004;Vrouw;0-14;4
Kanker van de endocriene klieren;2004;Vrouw;75+;51
Kanker van de endocriene klieren;2004;Vrouw;60-74;58
Kanker van de endocriene klieren;2004;Vrouw;45-59;86
Kanker van de endocriene klieren;2004;Vrouw;30-44;90
Kanker van de endocriene klieren;2005;Vrouw;15-29;27
Kanker van de endocriene klieren;2005;Vrouw;Totaal;320
Kanker van de endocriene klieren;2005;Vrouw;0-14;4
Kanker van de endocriene klieren;2005;Vrouw;75+;52
Kanker van de endocriene klieren;2005;Vrouw;60-74;65
Kanker van de endocriene klieren;2005;Vrouw;30-44;84
Kanker van de endocriene klieren;2005;Vrouw;45-59;88
Kanker van de endocriene klieren;2006;Vrouw;0-14;2
Kanker van de endocriene klieren;2006;Vrouw;15-29;32
Kanker van de endocriene klieren;2006;Vrouw;Totaal;346
Kanker van de endocriene klieren;2006;Vrouw;75+;57
Kanker van de endocriene klieren;2006;Vrouw;60-74;77
Kanker van de endocriene klieren;2006;Vrouw;30-44;87
Kanker van de endocriene klieren;2006;Vrouw;45-59;91
Kanker van de endocriene klieren;2007;Vrouw;30-44;108
Kanker van de endocriene klieren;2007;Vrouw;Totaal;361
Kanker van de endocriene klieren;2007;Vrouw;0-14;4
Kanker van de endocriene klieren;2007;Vrouw;15-29;41
Kanker van de endocriene klieren;2007;Vrouw;75+;50
Kanker van de endocriene klieren;2007;Vrouw;60-74;65
Kanker van de urinewegen;2007;Man en vrouw;15-29;16
Kanker van de urinewegen;2007;Man en vrouw;75+;1860
Kanker van de urinewegen;2007;Man en vrouw;60-74;2257
Kanker van de urinewegen;2007;Man en vrouw;0-14;38
Kanker van de urinewegen;2007;Man en vrouw;Totaal;5242
Kanker van de urinewegen;2007;Man en vrouw;45-59;914
Kanker van de urinewegen;2008;Man en vrouw;30-44;122
Kanker van de urinewegen;2008;Man en vrouw;75+;1996
Kanker van de urinewegen;2008;Man en vrouw;60-74;2293
Kanker van de urinewegen;2008;Man en vrouw;0-14;26
Kanker van de urinewegen;2008;Man en vrouw;Totaal;5337
Kanker van de urinewegen;2008;Man en vrouw;15-29;7
Kanker van de urinewegen;2008;Man en vrouw;45-59;893
Kanker van de urinewegen;2009;Man en vrouw;15-29;10
Kanker van de urinewegen;2009;Man en vrouw;0-14;12
Kanker van de urinewegen;2009;Man en vrouw;30-44;129
Kanker van de urinewegen;2009;Man en vrouw;75+;2038
Kanker van de urinewegen;2009;Man en vrouw;60-74;2316
Kanker van de urinewegen;2009;Man en vrouw;Totaal;5428
Kanker van de urinewegen;2009;Man en vrouw;45-59;923
Kanker van de urinewegen;2010;Man en vrouw;15-29;11
Kanker van de urinewegen;2010;Man en vrouw;30-44;133
Kanker van de urinewegen;2010;Man en vrouw;75+;2145
Kanker van de urinewegen;2010;Man en vrouw;60-74;2374
Kanker van de urinewegen;2010;Man en vrouw;0-14;34
Kanker van de urinewegen;2010;Man en vrouw;Totaal;5587
Kanker van de urinewegen;2010;Man en vrouw;45-59;890
Kanker van de urinewegen;2011;Man en vrouw;30-44;122
Kanker van de urinewegen;2011;Man en vrouw;0-14;19
Kanker van de urinewegen;2011;Man en vrouw;15-29;20
Kanker van de urinewegen;2011;Man en vrouw;75+;2054
Kanker van de urinewegen;2011;Man en vrouw;60-74;2465
Kanker van de urinewegen;2011;Man en vrouw;Totaal;5646
Kanker van de urinewegen;2011;Man en vrouw;45-59;966
Kanker van de luchtwegen;2009;Man en vrouw;75+;3642
Kanker van de luchtwegen;2009;Man en vrouw;60-74;5798
Kanker van de luchtwegen;2010;Man en vrouw;Totaal;12519
Kanker van de luchtwegen;2010;Man en vrouw;0-14;2
Kanker van de luchtwegen;2010;Man en vrouw;30-44;216
Kanker van de luchtwegen;2010;Man en vrouw;45-59;2347
Kanker van de luchtwegen;2010;Man en vrouw;75+;3884
Kanker van de luchtwegen;2010;Man en vrouw;60-74;6062
Kanker van de luchtwegen;2010;Man en vrouw;15-29;8
Kanker van de luchtwegen;2011;Man en vrouw;Totaal;12833
Kanker van de luchtwegen;2011;Man en vrouw;15-29;16
Kanker van de luchtwegen;2011;Man en vrouw;0-14;2
Kanker van de luchtwegen;2011;Man en vrouw;30-44;208
Kanker van de luchtwegen;2011;Man en vrouw;45-59;2438
Kanker van de luchtwegen;2011;Man en vrouw;75+;4019
Kanker van de luchtwegen;2011;Man en vrouw;60-74;6150
Kanker van de luchtwegen;2012;Man en vrouw;0-14;1
Kanker van de luchtwegen;2012;Man en vrouw;15-29;11
Kanker van de luchtwegen;2012;Man en vrouw;Totaal;12717
Kanker van de luchtwegen;2012;Man en vrouw;30-44;200
Kanker van de luchtwegen;2012;Man en vrouw;45-59;2370
Kanker van de luchtwegen;2012;Man en vrouw;75+;3935
Kanker van de luchtwegen;2012;Man en vrouw;60-74;6200
Kanker van de luchtwegen;2013;Man en vrouw;0-14;1
Kanker van de luchtwegen;2013;Man en vrouw;Totaal;13012
Kanker van de luchtwegen;2013;Man en vrouw;15-29;14
Kanker van de luchtwegen;2013;Man en vrouw;30-44;190
Kanker van de luchtwegen;2013;Man en vrouw;45-59;2392
Kanker van de luchtwegen;2013;Man en vrouw;75+;4041
Kanker van de luchtwegen;2013;Man en vrouw;60-74;6374
Kanker van de luchtwegen;2014;Man en vrouw;0-14;1
Kanker van de luchtwegen;2014;Man en vrouw;Totaal;12938
Kanker van de luchtwegen;2014;Man en vrouw;30-44;193
Kanker van de luchtwegen;2014;Man en vrouw;45-59;2259
Kanker van de luchtwegen;2014;Man en vrouw;75+;3900
Kanker van de luchtwegen;2014;Man en vrouw;60-74;6578
Kanker van de luchtwegen;2014;Man en vrouw;15-29;7
Kanker van de luchtwegen;2015;Man en vrouw;0-14;1
Kanker van de luchtwegen;2015;Man en vrouw;15-29;10
Kanker van de luchtwegen;2015;Man en vrouw;Totaal;13496
Kanker van de luchtwegen;2015;Man en vrouw;30-44;165
Kanker van de luchtwegen;2015;Man en vrouw;45-59;2270
Kanker van de luchtwegen;2015;Man en vrouw;75+;4127
Kanker van de luchtwegen;2015;Man en vrouw;60-74;6923
Kanker van de luchtwegen;2016;Man en vrouw;15-29;11
Kanker van de luchtwegen;2016;Man en vrouw;Totaal;13588
Kanker van de luchtwegen;2016;Man en vrouw;30-44;190
Kanker van de luchtwegen;2016;Man en vrouw;45-59;2271
Kanker van de luchtwegen;2016;Man en vrouw;0-14;3
Kanker van de luchtwegen;2016;Man en vrouw;75+;4152
Kanker van de luchtwegen;2016;Man en vrouw;60-74;6961
Kanker van de luchtwegen;2017;Man en vrouw;Totaal;13246
Kanker van de luchtwegen;2017;Man en vrouw;15-29;15
Kanker van de luchtwegen;2017;Man en vrouw;30-44;165
Kanker van de luchtwegen;2017;Man en vrouw;45-59;2124
Kanker van de luchtwegen;2017;Man en vrouw;0-14;4
Kanker van de luchtwegen;2017;Man en vrouw;75+;4041
Kanker van de luchtwegen;2017;Man en vrouw;60-74;6897
Kanker van de luchtwegen;2018;Man en vrouw;Totaal;13969
Kanker van de luchtwegen;2018;Man en vrouw;15-29;16
Kanker van de luchtwegen;2018;Man en vrouw;30-44;178
Kanker van de luchtwegen;2018;Man en vrouw;45-59;2199
Kanker van de luchtwegen;2018;Man en vrouw;75+;4315
Kanker van de luchtwegen;2018;Man en vrouw;0-14;5
Kanker van de luchtwegen;2018;Man en vrouw;60-74;7256
Oogkanker;1994;Vrouw;75+;19
Oogkanker;1994;Vrouw;15-29;2
Oogkanker;1994;Vrouw;45-59;22
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;75+;2886
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;0-14;3
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;30-44;376
Kanker van de mannelijke geslachtsorganen;2008;Man en vrouw;60-74;5956
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;Totaal;11367
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;45-59;1372
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;0-14;2
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;15-29;259
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;75+;3148
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;30-44;335
Kanker van de mannelijke geslachtsorganen;2009;Man en vrouw;60-74;6251
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;Totaal;11589
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;45-59;1410
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;15-29;247
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;75+;3132
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;30-44;326
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;0-14;4
Kanker van de mannelijke geslachtsorganen;2010;Man en vrouw;60-74;6470
Kanker van de mannelijke geslachtsorganen;2011;Man en vrouw;Totaal;12639
